date,month,PMS,AGO,Kero,Price Per Barell,Exrates,Local Price in KSH
2010-01-14,2010-01-01,94.03,87.45,75.83,89.15,80.5680045454546,85.77
2011-01-14,2011-01-01,95.67,88.71,77.51,89.17,81.0290714285714,87.2966666666667
2011-02-14,2011-02-01,98.08,91.72,79.52,88.58,81.4734,89.7733333333333
2011-03-14,2011-03-01,102.44,94.53,83.97,102.86,84.2055086956522,93.6466666666667
2011-04-14,2011-04-01,111.17,107.52,90.91,109.53,83.8898157894737,103.2
2011-05-14,2011-05-01,115.35,108.02,92.61,100.9,85.4330095238095,105.326666666667
2011-06-14,2011-06-01,114.93,106.3,85.71,96.26,89.0492809523809,102.313333333333
2011-07-14,2011-07-01,115.39,106.12,86.16,97.3,89.8977333333333,102.556666666667
2011-08-14,2011-08-01,117.22,108.97,88.96,86.33,92.7859590909091,105.05
2011-09-14,2011-09-01,117.75,108.77,88.29,85.52,96.3572636363636,104.936666666667
2011-10-14,2011-10-01,120.5,110.94,89.95,86.32,101.26979,107.13
2011-11-14,2011-11-01,124.13,114.3,94.87,97.16,93.6755636363636,111.1
2011-12-14,2011-12-01,119.06,110.98,90.74,98.56,86.662845,106.926666666667
2012-01-14,2012-01-01,111.95,107.9,87.11,100.27,86.3425666666667,102.32
2012-02-14,2012-02-01,111.32,105.29,83.74,102.2,83.1761142857143,100.116666666667
2012-03-14,2012-03-01,111.69,105.12,84.13,106.16,83.0009875,100.313333333333
2012-04-14,2012-04-01,118.5,108.8,86.28,103.32,83.1877894736842,104.526666666667
2012-05-14,2012-05-01,121.43,108.44,87.0,94.66,84.4618454545455,105.623333333333
2012-06-14,2012-06-01,117.67,105.51,83.2,82.3,84.78874,102.126666666667
2012-07-14,2012-07-01,108.46,97.51,74.4,87.9,84.1447181818182,93.4566666666667
2012-08-14,2012-08-01,106.48,97.08,73.97,94.13,84.0754454545455,92.51
2012-09-14,2012-09-01,108.95,101.07,79.65,94.51,84.6133,96.5566666666667
2012-10-14,2012-10-01,115.26,106.11,86.01,89.49,85.1116086956522,102.46
2012-11-14,2012-11-01,113.68,105.85,84.57,86.53,85.6285681818182,101.366666666667
2012-12-14,2012-12-01,112.61,105.79,86.44,87.86,85.9939888888889,101.613333333333
2013-01-14,2013-01-01,111.6,103.99,83.86,94.76,86.8996136363637,99.8166666666667
2013-02-14,2013-02-01,113.57,106.2,85.93,95.31,87.44553,101.9
2013-03-14,2013-03-01,117.69,107.37,88.54,92.94,85.8176421052632,104.533333333333
2013-04-14,2013-04-01,117.65,106.44,83.83,92.02,84.189045,102.64
2013-05-14,2013-05-01,113.24,101.06,79.46,94.51,84.1461772727273,97.92
2013-06-14,2013-06-01,108.18,99.16,81.52,95.77,85.48845,96.2866666666667
2013-07-14,2013-07-01,109.52,102.86,79.49,104.67,86.8594739130435,97.29
2013-08-14,2013-08-01,112.26,104.44,83.93,106.57,87.4929380952381,100.21
