Date,Currency,EXCHANGE RATE,date
16/02/2026,SAUDI RIYAL,34.4,2026-02-16
16/02/2026,KES / RWF,11.29,2026-02-16
16/02/2026,EURO,153.07,2026-02-16
16/02/2026,HONGKONG DOLLAR,16.51,2026-02-16
16/02/2026,SW KRONER,14.46,2026-02-16
16/02/2026,KES / TSHS,20.07,2026-02-16
16/02/2026,JPY (100),84.22,2026-02-16
16/02/2026,SINGAPORE DOLLAR,102.24,2026-02-16
16/02/2026,STG POUND,175.97,2026-02-16
16/02/2026,DAN KRONER,20.49,2026-02-16
16/02/2026,AUSTRALIAN $,91.45,2026-02-16
16/02/2026,S FRANC,167.88,2026-02-16
16/02/2026,CAN $,94.75,2026-02-16
16/02/2026,US DOLLAR,129.02,2026-02-16
16/02/2026,NOR KRONER,13.57,2026-02-16
16/02/2026,AE DIRHAM,35.13,2026-02-16
16/02/2026,KES / BIF,22.91,2026-02-16
16/02/2026,CHINESE YUAN,18.67,2026-02-16
16/02/2026,KES / USHS,27.43,2026-02-16
16/02/2026,IND RUPEE,1.42,2026-02-16
16/02/2026,SA RAND,8.1,2026-02-16
13/02/2026,CHINESE YUAN,18.68,2026-02-13
13/02/2026,SA RAND,8.07,2026-02-13
13/02/2026,STG POUND,175.53,2026-02-13
13/02/2026,US DOLLAR,129.02,2026-02-13
