From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK),date_from,date_to,location
15-12-2025,14-01-2026,Garsen,184.95,171.9,155.21,2025-12-15,2026-01-14,Garsen
15-12-2025,14-01-2026,Moyale,200.46,187.41,170.72,2025-12-15,2026-01-14,Moyale
15-12-2025,14-01-2026,Molo,183.26,170.57,153.91,2025-12-15,2026-01-14,Molo
15-12-2025,14-01-2026,Kiminini,184.95,172.26,155.61,2025-12-15,2026-01-14,Kiminini
15-12-2025,14-01-2026,Tenges,185.69,173.0,156.34,2025-12-15,2026-01-14,Tenges
15-12-2025,14-01-2026,Kakamega,184.09,171.4,154.75,2025-12-15,2026-01-14,Kakamega
15-12-2025,14-01-2026,Muhuru Bay,187.14,174.45,157.79,2025-12-15,2026-01-14,Muhuru Bay
15-12-2025,14-01-2026,Kwale,181.62,168.57,151.88,2025-12-15,2026-01-14,Kwale
15-12-2025,14-01-2026,Nanyuki,187.49,174.44,157.75,2025-12-15,2026-01-14,Nanyuki
15-12-2025,14-01-2026,Kalacha,197.93,184.88,168.19,2025-12-15,2026-01-14,Kalacha
15-12-2025,14-01-2026,Matunda,184.0,171.3,154.65,2025-12-15,2026-01-14,Matunda
15-12-2025,14-01-2026,Lokiriama,192.42,179.73,163.08,2025-12-15,2026-01-14,Lokiriama
15-12-2025,14-01-2026,Orolwo,186.25,173.56,156.91,2025-12-15,2026-01-14,Orolwo
15-12-2025,14-01-2026,Ndhiwa,186.01,173.3,156.66,2025-12-15,2026-01-14,Ndhiwa
15-12-2025,14-01-2026,Embu,186.06,173.01,156.31,2025-12-15,2026-01-14,Embu
15-12-2025,14-01-2026,Hadado,195.68,182.63,165.93,2025-12-15,2026-01-14,Hadado
15-12-2025,14-01-2026,Iten,184.38,171.68,155.03,2025-12-15,2026-01-14,Iten
15-12-2025,14-01-2026,Malaba,186.03,173.34,156.68,2025-12-15,2026-01-14,Malaba
15-12-2025,14-01-2026,Arror,185.65,172.96,156.31,2025-12-15,2026-01-14,Arror
15-12-2025,14-01-2026,Muhoroni,184.41,171.71,155.06,2025-12-15,2026-01-14,Muhoroni
15-12-2025,14-01-2026,Keumbu,185.65,172.95,156.3,2025-12-15,2026-01-14,Keumbu
15-12-2025,14-01-2026,Kaloleni,181.15,168.1,151.4,2025-12-15,2026-01-14,Kaloleni
15-12-2025,14-01-2026,Elwak,202.68,189.63,172.93,2025-12-15,2026-01-14,Elwak
15-12-2025,14-01-2026,Lodosoit,190.69,177.99,161.34,2025-12-15,2026-01-14,Lodosoit
15-12-2025,14-01-2026,Burgich,186.81,174.12,157.47,2025-12-15,2026-01-14,Burgich
15-12-2025,14-01-2026,Tindiret,185.55,172.86,156.21,2025-12-15,2026-01-14,Tindiret
15-12-2025,14-01-2026,Nyamira,185.0,172.31,155.65,2025-12-15,2026-01-14,Nyamira
15-12-2025,14-01-2026,Chwele,185.8,173.11,156.46,2025-12-15,2026-01-14,Chwele
15-12-2025,14-01-2026,Lamu,186.58,173.54,156.84,2025-12-15,2026-01-14,Lamu
15-12-2025,14-01-2026,Maua,190.29,177.24,160.54,2025-12-15,2026-01-14,Maua
15-12-2025,14-01-2026,Korr,194.51,181.46,164.76,2025-12-15,2026-01-14,Korr
15-12-2025,14-01-2026,Kimwarer,184.56,171.85,155.21,2025-12-15,2026-01-14,Kimwarer
15-12-2025,14-01-2026,Kachibora,184.68,171.99,155.34,2025-12-15,2026-01-14,Kachibora
15-12-2025,14-01-2026,Keringet,185.24,172.55,155.9,2025-12-15,2026-01-14,Keringet
15-12-2025,14-01-2026,Ugunja,184.75,172.05,155.4,2025-12-15,2026-01-14,Ugunja
15-12-2025,14-01-2026,Kiganjo,186.46,173.41,156.71,2025-12-15,2026-01-14,Kiganjo
15-12-2025,14-01-2026,Marimanti,188.14,175.09,158.4,2025-12-15,2026-01-14,Marimanti
15-12-2025,14-01-2026,Kitale,184.64,171.95,155.3,2025-12-15,2026-01-14,Kitale
15-12-2025,14-01-2026,Turbo,183.93,171.23,154.58,2025-12-15,2026-01-14,Turbo
15-12-2025,14-01-2026,Marich,186.63,173.94,157.28,2025-12-15,2026-01-14,Marich
15-12-2025,14-01-2026,Kilgoris,186.4,173.71,157.06,2025-12-15,2026-01-14,Kilgoris
15-12-2025,14-01-2026,Kajiado,184.87,171.82,155.13,2025-12-15,2026-01-14,Kajiado
15-12-2025,14-01-2026,Merti,193.4,180.35,163.65,2025-12-15,2026-01-14,Merti
15-12-2025,14-01-2026,Wamba,188.63,175.94,159.28,2025-12-15,2026-01-14,Wamba
15-12-2025,14-01-2026,Kalokol,192.56,179.87,163.21,2025-12-15,2026-01-14,Kalokol
15-12-2025,14-01-2026,Cheptulu,184.75,172.06,155.4,2025-12-15,2026-01-14,Cheptulu
15-12-2025,14-01-2026,Homabay,185.43,172.72,156.08,2025-12-15,2026-01-14,Homabay
15-12-2025,14-01-2026,Funyula,185.26,172.57,155.91,2025-12-15,2026-01-14,Funyula
15-12-2025,14-01-2026,Samburu,181.39,168.34,151.66,2025-12-15,2026-01-14,Samburu
15-12-2025,14-01-2026,Sololo,198.83,185.77,169.08,2025-12-15,2026-01-14,Sololo
15-12-2025,14-01-2026,Olenguruone,184.47,171.77,155.12,2025-12-15,2026-01-14,Olenguruone
15-12-2025,14-01-2026,Endebes,185.55,172.86,156.21,2025-12-15,2026-01-14,Endebes
