date_from,date_to,location,product,cap_price_kes,month_from
2024-11-15,2024-12-14,Ahero,Diesel (AGO),168.44,2024-11-01
2024-12-15,2025-01-14,Ahero,Diesel (AGO),165.44,2024-12-01
2025-01-15,2025-02-14,Ahero,Diesel (AGO),167.44,2025-01-01
2025-02-15,2025-03-14,Ahero,Diesel (AGO),167.44,2025-02-01
2025-03-15,2025-04-14,Ahero,Diesel (AGO),167.44,2025-03-01
2025-04-15,2025-05-14,Ahero,Diesel (AGO),165.24,2025-04-01
2025-05-15,2025-06-14,Ahero,Diesel (AGO),165.24,2025-05-01
2025-06-15,2025-07-14,Ahero,Diesel (AGO),163.23,2025-06-01
2025-07-15,2025-08-14,Ahero,Diesel (AGO),171.78,2025-07-01
2025-08-15,2025-09-14,Ahero,Diesel (AGO),171.78,2025-08-01
2025-09-15,2025-10-14,Ahero,Diesel (AGO),171.68,2025-09-01
2025-10-15,2025-11-14,Ahero,Diesel (AGO),171.68,2025-10-01
2025-11-15,2025-12-14,Ahero,Diesel (AGO),171.68,2025-11-01
2025-12-15,2026-01-14,Ahero,Diesel (AGO),171.68,2025-12-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2026-01-15,2026-02-14,Ahero,Diesel (AGO),170.68,2026-01-01
2024-11-15,2024-12-14,Ahero,Kerosene (IK),151.82,2024-11-01
2024-12-15,2025-01-14,Ahero,Kerosene (IK),148.82,2024-12-01
2025-01-15,2025-02-14,Ahero,Kerosene (IK),151.82,2025-01-01
2025-02-15,2025-03-14,Ahero,Kerosene (IK),151.82,2025-02-01
2025-03-15,2025-04-14,Ahero,Kerosene (IK),151.82,2025-03-01
2025-04-15,2025-05-14,Ahero,Kerosene (IK),149.42,2025-04-01
2025-05-15,2025-06-14,Ahero,Kerosene (IK),149.42,2025-05-01
2025-06-15,2025-07-14,Ahero,Kerosene (IK),147.3,2025-06-01
2025-07-15,2025-08-14,Ahero,Kerosene (IK),156.83,2025-07-01
2025-08-15,2025-09-14,Ahero,Kerosene (IK),155.83,2025-08-01
2025-09-15,2025-10-14,Ahero,Kerosene (IK),155.03,2025-09-01
2025-10-15,2025-11-14,Ahero,Kerosene (IK),155.03,2025-10-01
2025-11-15,2025-12-14,Ahero,Kerosene (IK),155.03,2025-11-01
2025-12-15,2026-01-14,Ahero,Kerosene (IK),155.03,2025-12-01
2026-01-15,2026-02-14,Ahero,Kerosene (IK),154.03,2026-01-01
