"Date","Currency","EXCHANGE RATE"
"16/02/2026","SAUDI RIYAL","34.4000"
"16/02/2026","KES / RWF","11.2900"
"16/02/2026","EURO","153.0700"
"16/02/2026","HONGKONG DOLLAR","16.5100"
"16/02/2026","SW KRONER","14.4600"
"16/02/2026","KES / TSHS","20.0700"
"16/02/2026","JPY (100)","84.2200"
"16/02/2026","SINGAPORE DOLLAR","102.2400"
"16/02/2026","STG POUND","175.9700"
"16/02/2026","DAN KRONER","20.4900"
"16/02/2026","AUSTRALIAN $","91.4500"
"16/02/2026","S FRANC","167.8800"
"16/02/2026","CAN $","94.7500"
"16/02/2026","US DOLLAR","129.0200"
"16/02/2026","NOR KRONER","13.5700"
"16/02/2026","AE DIRHAM","35.1300"
"16/02/2026","KES / BIF","22.9100"
"16/02/2026","CHINESE YUAN","18.6700"
"16/02/2026","KES / USHS","27.4300"
"16/02/2026","IND RUPEE","1.4200"
"16/02/2026","SA RAND","8.1000"
"13/02/2026","CHINESE YUAN","18.6800"
"13/02/2026","SA RAND","8.0700"
"13/02/2026","STG POUND","175.5300"
"13/02/2026","US DOLLAR","129.0200"
